name,wasm_clang,wasm_obf_clang,wasm_obf_emscripten
minmaxarray,0.001,0.0118,0.0089
armstrong,0.0013,0.0092,0.0101
factorial,0.001,0.0088,0.0081
bubblesort,0.001,0.0113,0.0092
concatstrings,0.001,0.0088,0.0086
linearsearch,0.001,0.0084,0.0094
selectionsort,0.001,0.0093,0.0089
reverse,0.0012,0.0105,0.0079
quicksort,0.001,0.0105,0.0093
decimaltooctal,0.001,0.0087,0.0083
multtable,0.001,0.0088,0.0101
anagram,0.0011,0.0097,0.0083
gcd,0.001,0.0106,0.0086
frequency,0.001,0.0104,0.0086
perfect,0.001,0.009,0.01
stringtoASCII,0.001,0.0091,0.0087
romannumerals,0.001,0.0106,0.0083
lcm,0.0011,0.0093,0.0078
iofile,0.001,0.0103,0.0095
insertionsort,0.001,0.0096,0.0084
vowels,0.001,0.0087,0.0081
factorialrec,0.001,0.0094,0.0081
palindrome,0.001,0.0085,0.0086
fib,0.001,0.0099,0.0081
numtowords,0.001,0.0083,0.0082
decimaltobinary,0.001,0.0103,0.008
binaryadd,0.001,0.0091,0.0081
random,0.0016,0.0088,0.0083
binarymult,0.0012,0.0091,0.0091
binarysearch,0.001,0.0089,0.0084
prime,0.001,0.0085,0.0084
mergesort,0.0012,0.0091,0.0086
printinitials,0.001,0.0102,0.0098
floyd,0.001,0.0106,0.0086
decimaltohex,0.0015,0.0089,0.0095
comparestrings,0.001,0.0097,0.0085
pyramid,0.001,0.0086,0.0095
