name,native,wasm,wasm_obfuscated,native_obfuscated
armstrong,0.001,0.0054,0.0056,0.001
anagram,0.001,0.0052,0.0058,0.001
frequency,0.001,0.0051,0.0059,0.001
quicksort,0.001,0.0058,0.0054,0.001
insertionsort,0.001,0.0053,0.0054,0.0014
concatstrings,0.001,0.0054,0.0061,0.001
printinitials,0.001,0.0058,0.0054,0.0011
lcm,0.0012,0.0055,0.0053,0.001
numtowords,0.001,0.0055,0.0054,0.001
random,0.001,0.0054,0.0051,0.001
decimaltobinary,0.001,0.0062,0.0051,0.001
reverse,0.001,0.0063,0.0052,0.001
perfect,0.001,0.0059,0.0054,0.001
gcd,0.001,0.0051,0.0055,0.001
binarysearch,0.0015,0.0054,0.0054,0.001
comparestrings,0.001,0.0053,0.0058,0.001
minmaxarray,0.001,0.0054,0.0056,0.001
binaryadd,0.001,0.0058,0.0053,0.001
floyd,0.001,0.0056,0.0055,0.001
palindrome,0.001,0.0056,0.0056,0.001
mergesort,0.001,0.0055,0.0057,0.0013
stringtoASCII,0.001,0.0061,0.0051,0.001
iofile,0.001,0.0057,0.0051,0.001
bubblesort,0.001,0.0057,0.0059,0.0011
factorial,0.001,0.0055,0.0054,0.0011
prime,0.001,0.0053,0.0054,0.001
multtable,0.001,0.0054,0.0053,0.001
factorialrec,0.0011,0.0053,0.0056,0.0012
selectionsort,0.001,0.0051,0.0051,0.0011
vowels,0.001,0.0052,0.0057,0.001
decimaltohex,0.0011,0.0053,0.0055,0.001
romannumerals,0.001,0.0055,0.0056,0.001
linearsearch,0.001,0.0051,0.0053,0.0013
binarymult,0.001,0.0055,0.0053,0.001
pyramid,0.001,0.0054,0.0058,0.001
fib,0.0011,0.0055,0.0056,0.001
decimaltooctal,0.001,0.0054,0.0056,0.0012
